品牌 (Brand),車型型號 (Model),Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9
HONDA,Wave Dash R Repsol,"5,160","4,880","4,540","4,200","3,920","3,640","3,370","3,030","2,750"
HONDA,Wave Dash FI (Self/Disc/Cast) AFP110CSFG/H,"5,240","4,960","4,610","4,260","3,980","3,700","3,420","3,070","2,790"
HONDA,Wave Dash FI (Self/2Disc/Cast) AFP110CRFG/H,"5,450","5,160","4,790","4,430","4,140","3,850","3,560","3,200","2,900"
HONDA,Wave Dash FI (Self/2Disc/Cast) AFP110CRFG2/H2,"5,560","5,260","4,890","4,520","4,230","3,930","3,630","3,260","2,970"
HONDA,Wave Alpha (Self / Drum / Spoke),"3,820","3,620","3,360","3,110","2,900","2,700","2,500","2,240","2,040"
HONDA,Wave Alpha (Self / Disk / Cast) AFS110MCSGH/J/L/N/S,"5,400","5,110","4,750","4,390","4,100","3,810","3,520","3,160","2,880"
HONDA,Wave 125 (KICK),"3,800","3,600","3,340","3,090","2,910","2,710","2,480","2,230","2,030"
HONDA,Wave 125 (Elec),"4,010","3,790","3,520","3,250","3,060","2,850","2,610","2,340","2,140"
HONDA,Wave S 125 (KICK),"4,350","4,090","3,840","3,580","3,060","2,870","2,660","2,450","2,250"
HONDA,Wave S 125 (SELF),"4,580","4,310","4,040","3,770","3,230","3,010","2,790","2,590","2,370"
HONDA,Wave 125X,"4,110","3,880","3,610","3,330","3,150","2,920","2,680","2,410","2,190"
HONDA,Wave 125X ULTIMO (KICK SPOKE),"4,110","3,920","3,640","3,370","3,150","2,920","2,700","2,430","2,210"
HONDA,Wave 125X ULTIMO (KICK CAST),"4,280","4,050","3,760","3,480","3,270","3,050","2,790","2,510","2,280"
HONDA,Wave 125X ULTIMO (ELECTRIC CAST),"5,120","4,850","4,500","4,160","3,890","3,610","3,340","3,000","2,730"
HONDA,Wave 125i (Self/Disc/Cast) AFS125MCSH/K,"5,140","4,870","4,530","4,180","3,910","3,630","3,360","3,020","2,740"
HONDA,Wave 125i (Self/2Disc/Cast) AFS125MCRH/M,"8,460","7,970","7,470","6,970","5,970","5,580","5,180","4,770","4,380"
HONDA,Dash 125 (SELF/DISC/CAST) AFP125CSFK/L,"5,140","4,870","4,530","4,180","3,910","3,630","3,360","3,020","2,740"
HONDA,Dash 125 (SELF/2DISC/CAST) AFP125CRFK/L/N/S,"6,480","6,130","5,700","5,270","4,920","4,580","4,230","3,790","3,450"
HONDA,Dash 125 (SELF/2DISC/CAST) AFP125CRFK2/L2,"5,490","5,210","4,840","4,470","4,180","3,880","3,590","3,230","2,930"
HONDA,DASH 125 AFP125CRF/F3 (SELF/CAST/2DISC),"7,340","6,910","6,480","6,040","5,180","4,840","4,490","4,140","3,790"
HONDA,Air Blade,"7,140","6,760","6,290","5,810","5,430","5,040","4,670","4,190","3,810"
HONDA,Future (Spoke/Disc/Self),"5,140","4,860","4,520","4,180","3,900","3,630","3,350","3,010","2,740"
HONDA,Future (Cast/Disc/Self),"5,440","5,150","4,790","4,420","4,140","3,850","3,550","3,190","2,900"
HONDA,Future (Cast/2Disc/Self),"5,510","5,220","4,850","4,480","4,190","3,890","3,600","3,230","2,940"
HONDA,Future Special Edition (Cast/2Disc/Self),"5,520","5,220","4,860","4,490","4,190","3,900","3,600","3,240","2,940"
HONDA,Future FI (Cast/Disc/Self),"5,360","5,070","4,720","4,360","4,070","3,780","3,510","3,150","2,860"
HONDA,Future FI (Cast/2Disc/Self),"5,560","5,260","4,890","4,520","4,230","3,930","3,630","3,260","2,970"
HONDA,SPACY,"4,860","4,600","4,280","3,960","3,690","3,430","3,170","2,850","2,590"
HONDA,SPACY SE,"4,820","4,570","4,240","3,920","3,670","3,410","3,150","2,830","2,570"
HONDA,PCX,"8,890","8,410","7,820","7,220","6,750","6,280","5,800","5,210","4,740"
HONDA,PCX HYBRID,"8,770","8,300","7,720","7,130","6,660","6,200","5,730","5,140","4,680"
HONDA,PCX - STANDARD,"8,740","8,280","7,690","7,110","6,650","6,180","5,710","5,130","4,660"
HONDA,PCX - NEW COLOUR,"9,260","8,760","8,150","7,530","7,030","6,540","6,040","5,430","4,940"
HONDA,PCX - DELUXE,"8,740","8,280","7,690","7,110","6,650","6,180","5,710","5,130","4,660"
HONDA,ICON (Cast Disc Self),"3,800","3,600","3,340","3,090","2,880","2,690","2,480","2,230","2,030"
HONDA,ICON,"4,530","4,290","3,990","3,690","3,440","3,200","2,960","2,660","2,420"
HONDA,Click 108.0cc,"4,710","4,460","4,140","3,830","3,580","3,330","3,080","2,770","2,520"
HONDA,RS150R (FS150FH/FH3/FJ),"9,180","8,640","8,100","7,560","6,480","6,040","5,610","5,180","4,750"
HONDA,RS150R Repsol (FS150FH2/J2/J3),"9,760","9,180","8,610","8,030","6,890","6,430","5,970","5,500","5,040"
HONDA,RS150R & RS150R TRICO (FS150FL/FL3/F4),"10,020","9,430","8,840","8,250","7,070","6,600","6,120","5,660","5,180"
HONDA,RS150R Repsol (FS150FL2),"9,940","9,360","8,770","8,190","7,020","6,550","6,080","5,610","5,140"
HONDA,RS-X FS150FA / FS150FA2 ABS (FS150FAN /FS150FAN2),"9,740","9,170","8,600","8,020","6,870","6,410","5,950","5,500","5,040"
HONDA,RS-X FS150FA3 ABS (REPSOL EDITION),"11,780","11,080","10,390","9,700","8,310","7,750","7,200","6,650","6,100"
HONDA,RS-X FS150FA ABS (FS150FAP/FAR),"10,790","10,150","9,520","8,880","7,610","7,110","6,590","6,090","5,580"
HONDA,RS-X FS150FA2 ABS (FS150FAP2),"10,090","9,500","8,910","8,310","7,120","6,650","6,170","5,700","5,220"
HONDA,RS-X FS150FA2 (FS150FAR2),"11,010","10,360","9,720","9,070","7,770","7,250","6,740","6,210","5,700"
HONDA,RS-X FS150FA4 ABS (FS150FAR4),"11,010","10,360","9,720","9,070","7,770","7,250","6,740","6,210","5,700"
HONDA,ADV150A / ADV150A2 (Self/2Disc/Cast),"12,330","11,610","10,890","10,160","8,710","8,120","7,550","6,960","6,390"
HONDA,ADV 160 ADV160A ABS,"14,150","13,320","12,490","11,650","9,990","9,320","8,650","7,990","7,320"
HONDA,ADV160 (ADV160AS3/A3),"14,840","13,960","13,090","12,220","10,470","9,770","9,080","8,370","7,680"
HONDA,ADV160 ADV160A3 SAB (ADV160AV3),"15,250","14,350","13,460","12,560","10,760","10,050","9,330","8,610","7,890"
HONDA,BEAT,"7,130","6,750","6,280","5,800","5,410","5,040","4,660","4,180","3,800"
HONDA,MSX125,"8,870","8,390","7,800","7,210","6,740","6,260","5,790","5,200","4,730"
HONDA,Vario,150,"9,410","8,850","8,300","7,740","6,640","6,200","5,760","5,310"
HONDA,Vario 150 Repsol,"7,300","6,870","6,440","6,020","5,150","4,810","4,470","4,120","3,780"
HONDA,VARIO 160 ACB160CAT2,"11,780","11,080","10,390","9,700","8,310","7,750","7,200","6,650","6,100"
HONDA,VARIO 160 ACB160CAT,"11,470","10,800","10,120","9,450","8,100","7,560","7,020","6,480","5,940"
HONDA,VARIO 160 REPSOL EDITION ACB160CAT3,"11,350","10,690","10,020","9,360","8,010","7,480","6,940","6,410","5,870"
HONDA,VARIO 160 ACB160CATS,"11,550","10,870","10,190","9,510","8,150","7,610","7,060","6,520","5,970"
HONDA,VARIO 125 ACB125CBT,"8,340","7,840","7,360","6,860","5,880","5,490","5,100","4,700","4,320"
HONDA,C125K (Self/Disc/Cast),"13,120","12,340","11,570","10,800","9,260","8,640","8,020","7,400","6,790"
HONDA,MONKEY Z125MK (SELF/2DISC/CAST),"13,020","12,250","11,490","10,710","9,180","8,570","7,960","7,350","6,740"
HONDA,CBR150R CBR150RA / CBR150RA9 ABS,"13,770","12,960","12,150","11,340","9,720","9,070","8,420","7,770","7,120"
YAMAHA,EGO,"4,270","4,020","3,770","3,510","3,010","2,810","2,610","2,410","2,210"
YAMAHA,EGO S,"5,220","4,910","4,600","4,300","3,690","3,430","3,190","2,950","2,700"
YAMAHA,EGO SI,"5,310","4,990","4,680","4,370","3,740","3,500","3,240","2,990","2,740"
YAMAHA,EGO LC,"5,800","5,460","5,120","4,770","4,090","3,820","3,550","3,270","3,000"
YAMAHA,EGO LC-Fi,"6,020","5,670","5,310","4,950","4,240","3,960","3,680","3,400","3,110"
YAMAHA,EGO Avantiz,"7,070","6,660","6,240","5,830","4,990","4,660","4,320","3,990","3,660"
YAMAHA,EGO Solariz,"5,580","5,250","4,930","4,590","3,940","3,680","3,420","3,150","2,880"
YAMAHA,E115M (K),"5,030","4,730","4,440","4,140","3,550","3,310","3,070","2,840","2,610"
YAMAHA,E115M €,"5,210","4,900","4,590","4,290","3,680","3,420","3,180","2,940","2,700"
YAMAHA,Lagenda Z 110 (K),"3,870","3,640","3,420","3,190","2,970","2,740","2,520","2,290","2,070"
YAMAHA,Lagenda Z 110 (E),"4,140","3,910","3,690","3,460","3,240","3,010","2,790","2,560","2,340"
YAMAHA,Lagenda 110Z CW,"4,410","4,180","3,960","3,730","3,510","3,280","3,060","2,830","2,610"
YAMAHA,LAGENDA 115Z (K) / (KI),"5,810","5,470","5,130","4,780","4,100","3,830","3,550","3,280","3,000"
YAMAHA,LAGENDA 115Z (E) / (EI) / (UE15),"7,140","6,720","6,300","5,880","5,040","4,700","4,370","4,030","3,690"
YAMAHA,LAGENDA 115ZR / ZRI,"6,510","6,130","5,750","5,360","4,590","4,290","3,980","3,680","3,370"
YAMAHA,LAGENDA 115Z GP EDITION,"6,150","5,790","5,430","5,070","4,340","4,050","3,770","3,470","3,180"
YAMAHA,NOUVO S,"4,920","4,630","4,340","4,050","3,470","3,240","3,010","2,780","2,540"
YAMAHA,NOUVO LC,"6,460","6,080","5,700","5,320","4,560","4,250","3,950","3,650","3,340"
YAMAHA,135LC ES GP,"7,200","6,780","6,360","5,930","5,080","4,750","4,410","4,060","3,720"
YAMAHA,135LC - Auto Clutch,"8,410","7,920","7,420","6,930","5,940","5,540","5,140","4,750","4,350"
YAMAHA,135LC - Hand Clutch,"7,120","6,710","6,290","5,860","5,030","4,690","4,360","4,020","3,690"
YAMAHA,135LC Special Edition,"9,180","8,640","8,100","7,560","6,480","6,040","5,610","5,180","4,750"
YAMAHA,135LC F.I. STANDARD,"9,720","9,140","8,570","8,000","6,850","6,390","5,940","5,490","5,030"
YAMAHA,135LC F.I. SE,"10,170","9,570","8,980","8,370","7,180","6,700","6,220","5,740","5,260"
YAMAHA,Y125Z,"6,440","6,060","5,680","5,300","4,540","4,240","3,940","3,630","3,330"
YAMAHA,Y125ZR (Cast Wheel),"7,550","7,110","6,660","6,210","5,320","4,970","4,610","4,260","3,900"
YAMAHA,RXZ (5PV1),"7,540","7,100","6,660","6,210","5,320","4,960","4,610","4,250","3,900"
YAMAHA,Y15ZR,"10,790","10,150","9,520","8,880","7,610","7,110","6,590","6,090","5,580"
YAMAHA,Y15ZR GP Edition,"10,120","9,520","8,920","8,330","7,140","6,660","6,190","5,710","5,230"
YAMAHA,Y15ZR DOXOU,"9,750","9,180","8,600","8,030","6,880","6,420","5,960","5,500","5,040"
YAMAHA,Y15ZR SE (B17E),"10,860","10,220","9,580","8,940","7,660","7,150","6,640","6,130","5,620"
YAMAHA,Y16ZR,"12,620","11,880","11,140","10,390","8,910","8,310","7,720","7,120","6,530"
YAMAHA,Y16ZR (ABS),"13,000","12,240","11,470","10,710","9,180","8,560","7,950","7,340","6,730"
YAMAHA,Y16ZR LIMITED EDITION,"12,110","11,390","10,680","9,970","8,550","7,970","7,400","6,840","6,270"
YAMAHA,Y16ZR WGP 60TH ANNIVERSARY EDITION,"12,110","11,390","10,680","9,970","8,550","7,970","7,400","6,840","6,270"
YAMAHA,Y16ZR DOXOU LIMITED EDITION,"11,070","10,420","9,770","9,120","7,820","7,290","6,770","6,250","5,730"
YAMAHA,MT-15 (MTN155),"13,770","12,960","12,150","11,340","9,720","9,070","8,420","7,770","7,120"
YAMAHA,NMAX,"12,240","11,520","10,800","10,080","8,640","8,060","7,480","6,910","6,330"
YAMAHA,NMAX (ABS),"14,660","13,800","12,940","12,070","10,350","9,660","8,970","8,280","7,580"
YAMAHA,NVX (SG48) / NVX ABS,"14,860","13,980","13,110","12,240","10,490","9,790","9,090","8,390","7,690"
YAMAHA,NVX STANDARD,"12,620","11,880","11,140","10,390","8,910","8,310","7,720","7,120","6,530"
YAMAHA,NVX (GP EDT),"11,150","10,490","9,840","9,180","7,870","7,340","6,820","6,300","5,770"
YAMAHA,NVX DOXOU SPORTS FASHION EDITION,"10,260","9,660","9,060","8,450","7,240","6,760","6,280","5,790","5,310"
YAMAHA,NVX SP,"17,820","16,770","15,730","14,670","12,580","11,740","10,900","10,060","9,220"
YAMAHA,Y125ZR (SPECIAL LIMITED MOTOGP),"8,890","8,370","7,840","7,310","6,270","5,850","5,430","5,020","4,590"
YAMAHA,YZF-R15 (YZF155),"13,390","12,600","11,810","11,020","9,450","8,820","8,190","7,560","6,930"
YAMAHA,YZF-R15 MONSTER,"13,770","12,960","12,150","11,340","9,720","9,070","8,420","7,770","7,120"
YAMAHA,FZ150i (New Design) / FZ150i (S),"8,560","8,060","7,560","7,050","6,040","5,640","5,230","4,840","4,430"
YAMAHA,EGO GEAR (LNP125),"6,880","6,480","6,070","5,670","4,860","4,530","4,210","3,880","3,560"
YAMAHA,YZF-R15M (YZF155D-A),"15,680","14,760","13,840","12,910","11,070","10,330","9,590","8,850","8,110"
YAMAHA,EZ115,"7,840","7,380","6,930","6,460","5,540","5,170","4,800","4,420","4,050"
YAMAHA,135LC (5MRO),"9,720","9,140","8,570","8,000","6,850","6,390","5,940","5,490","5,030"
SUZUKI,SMASH (Kick Start),"2,920","2,770","2,640","2,470","2,310","2,150","1,980","1,810","1,650"
SUZUKI,SMASH (Elec. Start),"3,070","2,910","2,790","2,610","2,430","2,260","2,080","1,910","1,740"
SUZUKI,SMASH REVO (Kick Start),"3,030","2,890","2,770","2,600","2,420","2,250","2,070","1,900","1,720"
SUZUKI,SMASH REVO (Elect Start),"3,390","3,240","3,100","2,900","2,710","2,520","2,330","2,130","1,940"
SUZUKI,SMASH V,115,"3,490","3,330","3,190","2,980","2,790","2,590","2,390","2,190"
SUZUKI,SMASH V 115 SD,"3,660","3,500","3,340","3,140","2,920","2,710","2,510","2,300","2,080"
SUZUKI,SMASH V 115 SCD,"3,810","3,650","3,490","3,270","3,050","2,830","2,610","2,400","2,170"
SUZUKI,SMASH FI (SR),"4,560","4,360","4,160","3,900","3,640","3,380","3,130","2,870","2,610"
SUZUKI,SMASH FI (R),"4,420","4,230","4,050","3,790","3,540","3,290","3,030","2,780","2,520"
SUZUKI,SHOGUN 125 SPORTS (KICK),"3,390","3,240","3,100","2,900","2,710","2,520","2,330","2,130","1,940"
SUZUKI,SHOGUN 125 SPORTS (ELECT),"3,580","3,420","3,270","3,060","2,870","2,660","2,450","2,250","2,050"
SUZUKI,SHOGUN 125 RR (Auto Clutch),"4,050","3,870","3,700","3,470","3,240","3,010","2,780","2,540","2,320"
SUZUKI,SHOGUN 125 SP (Manual Clutch),"4,140","3,970","3,790","3,550","3,320","3,080","2,840","2,610","2,370"
SUZUKI,SHOGUN AXELO-S (Auto),"4,350","4,160","3,970","3,730","3,480","3,230","2,980","2,730","2,480"
SUZUKI,SHOGUN AXELO - R (Manual),"4,460","4,270","4,080","3,820","3,570","3,320","3,060","2,800","2,550"
SUZUKI,NEX,"3,600","3,440","3,280","3,080","2,880","2,670","2,460","2,250","2,050"
SUZUKI,STEP 125 SCOOTER (DRUM BRAKE),"3,390","3,240","3,100","2,900","2,710","2,520","2,330","2,130","1,940"
SUZUKI,STEP 125 SCOOTER (DISC BRAKE),"3,580","3,420","3,270","3,060","2,870","2,660","2,450","2,250","2,050"
SUZUKI,STEP 125 SC,"3,960","3,780","3,610","3,390","3,160","2,940","2,700","2,480","2,250"
SUZUKI,SKY DRIVE,"4,730","4,530","4,320","4,050","3,780","3,510","3,240","2,970","2,700"
SUZUKI,VS 150 (AN150X),"4,560","4,360","4,160","3,900","3,640","3,380","3,130","2,870","2,610"
SUZUKI,BELANG R150,"5,770","5,520","5,280","4,950","4,620","4,290","3,960","3,620","3,300"
SUZUKI,BELANG R150 Limited Edition,"5,770","5,520","5,280","4,950","4,620","4,290","3,960","3,620","3,300"
SUZUKI,ADDRESS,"4,020","3,850","3,680","3,440","3,220","2,980","2,760","2,520","2,300"
SUZUKI,ADDRESS (SP EDITION),"3,950","3,780","3,600","3,380","3,150","2,930","2,700","2,480","2,250"
SUZUKI,ADDRESS MOTO GP BLUE,"4,090","3,920","3,740","3,510","3,270","3,040","2,800","2,570","2,340"
SUZUKI,GSX-R150,"8,750","8,370","8,010","7,500","7,000","6,500","6,000","5,500","5,000"
SUZUKI,GSX-S150,"8,000","7,650","7,310","6,850","6,390","5,940","5,490","5,030","4,570"
SUZUKI,RAIDER R150FI,"7,680","7,350","7,020","6,580","6,140","5,700","5,270","4,830","4,390"
SUZUKI,RAIDER R150Fi AS25,"9,070","8,680","8,290","7,770","7,250","6,740","6,210","5,700","5,180"
SUZUKI,RAIDER R150Fi EWC-I,"6,990","6,690","6,390","5,990","5,590","5,190","4,790","4,390","3,990"
SUZUKI,BURGMAN STREET EX (UB125L),"5,730","5,490","5,230","4,910","4,590","4,250","3,930","3,600","3,270"
SUZUKI,AVENIS (UN125NE),"5,410","5,180","4,950","4,640","4,330","4,020","3,710","3,400","3,090"
SUZUKI,AVENIS GP COLOUR (UN125NEZ),"5,540","5,310","5,060","4,750","4,430","4,120","3,790","3,480","3,160"
KAWASAKI,KRR ZX -,150,"8,990","8,430","7,860","7,300","6,740","6,290","5,840","5,400"
KAWASAKI,KRR ZX-150 SE,"9,270","8,700","8,110","7,540","6,950","6,490","6,030","5,570","5,100"
KAWASAKI,KSR 110 (KL110-B),"5,890","5,520","5,150","4,780","4,410","4,130","3,830","3,530","3,240"
KAWASAKI,KSR 110 (KL110-C),"6,110","5,730","5,340","4,960","4,580","4,270","3,960","3,670","3,360"
KAWASAKI,Z125 PRO,"8,400","7,870","7,350","6,830","6,300","5,880","5,460","5,040","4,610"
KAWASAKI,KSR PRO,"6,640","6,220","5,810","5,400","4,980","4,650","4,320","3,980","3,650"
KAWASAKI,KLX 150-C / E,"7,650","7,180","6,700","6,220","5,740","5,360","4,970","4,590","4,210"
KAWASAKI,KLX 150-L,"7,880","7,380","6,900","6,400","5,910","5,510","5,120","4,730","4,330"
KAWASAKI,KLX 150BF (KLX150-F),"10,470","9,810","9,170","8,510","7,850","7,330","6,810","6,280","5,760"
KAWASAKI,D-TRACKER,150,"9,220","8,640","8,070","7,490","6,920","6,450","5,990","5,530"
KAWASAKI,D-TRACKER 150 (KLX150-D),"8,100","7,590","7,090","6,570","6,070","5,670","5,260","4,860","4,450"
VESPA,LIBERTY,150,"6,460","6,090","5,710","5,330","4,960","4,590","4,210","3,840"
VESPA,LT150,"7,740","7,290","6,840","6,390","5,940","5,490","5,040","4,590","4,140"
VESPA,LX150,"7,810","7,360","6,900","6,450","6,000","5,540","5,090","4,640","4,180"
VESPA,LXV150ie,"10,800","10,170","9,540","8,910","8,290","7,660","7,040","6,410","5,780"
VESPA,GTS,150,"12,690","11,960","11,220","10,490","9,750","9,010","8,280","7,540"
VESPA,S 125 3V IE,"8,260","7,780","7,290","6,820","6,340","5,860","5,390","4,900","4,420"
VESPA,S125,"9,910","9,340","8,760","8,190","7,610","7,040","6,470","5,890","5,310"
VESPA,S 125 I-GET,"9,070","8,550","8,010","7,490","6,960","6,440","5,910","5,390","4,860"
PIAGGIO,LIBERTY,150,"7,630","7,180","6,740","6,290","5,390","5,030","4,670","4,310"
PIAGGIO,LIBERTY 150 3V FI,"7,630","7,180","6,740","6,290","5,390","5,030","4,670","4,310","3,950"
PIAGGIO,MEDLEY S 150 ABS,"14,360","13,510","12,680","11,830","10,140","9,460","8,790","8,100","7,430"
MODENAS,CT100,"3,330","3,150","2,960","2,710","2,520","2,280",,,
MODENAS,CT100F (New Color/Spoke),"3,160","2,980","2,800","2,580","2,400","2,160",,,
MODENAS,CT100F (Sport Rim),"3,240","3,060","2,870","2,640","2,450","2,220",,,
MODENAS,CT100H,"3,340","3,150","2,970","2,720","2,530","2,290",,,
MODENAS,CT110R,"3,050","2,870","2,700","2,480","2,310","2,080",,,
MODENAS,CT110H,"3,280","3,090","2,900","2,670","2,480","2,250",,,
MODENAS,KRISS MR1,"2,930","2,760","2,590","2,380","2,210","2,000",,,
MODENAS,KRISS MR1 Sport,"2,990","2,820","2,650","2,430","2,260","2,050",,,
MODENAS,KRISS MR2 (MH110H/MH110),"3,310","3,120","2,930","2,700","2,510","2,260",,,
MODENAS,KRISS 100 (E) - Kick Starter,"2,630","2,490","2,340","2,150","1,990","1,800",,,
MODENAS,KRISS 100 (F) - Electric Starter,"2,820","2,660","2,500","2,300","2,140","1,940",,,
MODENAS,Kriss 110 SE (KICK),"2,980","2,810","2,640","2,430","2,250","2,050",,,
MODENAS,Kriss 110 (ELEC),"3,110","2,930","2,750","2,530","2,350","2,130",,,
MODENAS,Kriss 110 (MJ110F),"3,090","2,910","2,730","2,520","2,340","2,120",,,
MODENAS,Kriss 110 Disc Brake (MJ110H),"3,410","3,210","3,010","2,770","2,580","2,340",,,
MODENAS,ACE,115,"3,880","3,660","3,440","3,160","2,940","2,660",,
MODENAS,CT115S,"3,950","3,720","3,500","3,210","2,980","2,700",,,
MODENAS,118EFi,"4,100","3,870","3,630","3,330","3,100","2,800",,,
MODENAS,KRISS 120 (E) - Kick Starter,"3,010","2,840","2,670","2,450","2,280","2,070",,,
MODENAS,KRISS 120 (F) - Electric Starter,"3,200","3,020","2,840","2,610","2,430","2,190",,,
MODENAS,KRISS 120 (H) - Disc Brake,"3,450","3,250","3,060","2,810","2,610","2,370",,,
MODENAS,Passion,125,"3,370","3,180","2,980","2,750","2,550","2,310",,
MODENAS,KRISS 120 (R),"3,280","3,090","2,900","2,670","2,480","2,250",,,
MODENAS,Ceria,"3,390","3,200","3,000","2,760","2,570","2,330",,,
MODENAS,Kriss II,"3,450","3,250","3,060","2,810","2,610","2,370",,,
MODENAS,Karisma (SN125K),"4,500","4,240","3,980","3,670","3,410","3,080",,,
MODENAS,KARISMA 125S (SN125Z),"4,760","4,490","4,220","3,870","3,600","3,260",,,
MODENAS,X-CITE,130,"3,640","3,430","3,230","2,970","2,760","2,500",,
MODENAS,GT128,"4,330","4,080","3,840","3,520","3,280","2,970",,,
MODENAS,Elit,"4,120","3,880","3,640","3,350","3,120","2,820",,,
MODENAS,Dinamik - 120cc,"5,220","4,910","4,610","4,240","3,950","3,570",,,
MODENAS,Elit Sports,"4,520","4,270","4,010","3,690","3,420","3,100",,,
MODENAS,Elegan,"4,620","4,350","4,090","3,760","3,500","3,160",,,
MODENAS,Elegan,200,"6,120","5,760","5,410","4,970","4,630","4,190",,
MODENAS,V15 VT150,"4,700","4,430","4,160","3,830","3,560","3,230",,,
MODENAS,KARISMA SN125F,"3,960","3,740","3,510","3,230","3,000","2,710",,,
MODENAS,KARISMA EX,125,"4,650","4,380","4,120","3,780","3,510","3,180",,
MODENAS,KRISS,125,"4,530","4,270","4,010","3,690","3,430","3,110",,
MODENAS,Z15GT,"7,070","6,660","6,260","5,760","5,350","4,850",,,
MODENAS,ELIT 150S,"6,740","6,350","5,960","5,490","5,100","4,620",,,
PULSAR,RS200 (RS200N),"7,280","6,850","6,440","5,920","5,500","4,980",,,
PULSAR,NS200 (NS200N),"6,840","6,440","6,050","5,560","5,170","4,680",,,
PULSAR,NS200 F1 ABS (NS200N - A2MY),"7,500","7,070","6,640","6,110","5,670","5,140",,,
PULSAR,NS160 (NS160N),"5,670","5,350","5,030","4,620","4,300","3,890",,,
PULSAR,RS200 (RS200-A2MY / RS200N-A2MY),"8,120","7,650","7,200","6,610","6,150","5,570",,,
SYM,EBONUS,110,"2,990","2,790","2,570","2,360","2,160","1,950",,
SYM,BONUS 110 (SR),"3,150","2,940","2,720","2,500","2,280","2,060",,,
SYM,BONUS 110 (SR) EURO 3,"3,210","2,980","2,770","2,540","2,320","2,090",,,
SYM,SPORT BONUS SR,"3,530","3,290","3,050","2,790","2,550","2,310",,,
SYM,SPORT BONUS SR MANUAL CLUTCH,"3,710","3,450","3,190","2,940","2,680","2,420",,,
SYM,E-SMART,110,"3,040","2,830","2,610","2,410","2,190","1,980",,
SYM,Joyride,110,"3,100","2,880","2,670","2,450","2,240","2,020",,
SYM,Jet 14 125i,"5,340","4,970","4,600","4,230","3,860","3,490",,,
SYM,Jet 14 200i,"6,480","6,030","5,580","5,130","4,680","4,230",,,
SYM,Jet Power,125,"3,850","3,580","3,310","3,050","2,780","2,510",,
SYM,Jet Power 125 SE,"3,930","3,660","3,380","3,110","2,840","2,560",,,
SYM,Jet X,"7,250","6,750","6,240","5,740","5,230","4,730",,,
SYM,RADAR X,125,"3,410","3,160","2,930","2,700","2,460","2,220",,
SYM,MIO,100,"4,490","4,170","3,870","3,550","3,240","2,930",,
SYM,MIO,110,"4,960","4,610","4,270","3,930","3,580","3,240",,
SYM,SYMPHONY,150,"5,190","4,830","4,470","4,110","3,750","3,380",,
SYM,VTS,200,"7,690","7,150","6,620","6,090","5,550","5,020",,
SYM,VTS 200 SE,"8,220","7,650","7,080","6,500","5,940","5,360",,,
SYM,Attila Elizabeth,"5,230","4,860","4,500","4,140","3,780","3,420",,,
SYM,E-SR,110,"3,200","2,980","2,760","2,530","2,310","2,090",,
SYM,SPORT BONUS,115,"3,640","3,390","3,140","2,880","2,630","2,380",,
